         431300 function calls (425198 primitive calls) in 2.660 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      287    0.007    0.000    0.359    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1660(_log)
      287    0.007    0.000    0.012    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:236(split)
     1520    0.007    0.000    0.011    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\os.py:783(encodekey)
     1148    0.007    0.000    0.019    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:200(_is_internal_frame)
      840    0.007    0.000    0.010    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:263(__sub__)
        1    0.007    0.007    0.010    0.010 {method 'sort' of 'list' objects}
      200    0.007    0.000    0.227    0.001 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\group_by.py:141(agg)
      240    0.007    0.000    0.013    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:387(_parse_path)
      287    0.006    0.000    0.271    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1746(callHandlers)
     3040    0.006    0.000    0.006    0.000 {built-in method _abc._abc_subclasscheck}
     4520    0.006    0.000    0.009    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\lazyframe\frame.py:317(_from_pyldf)
       80    0.006    0.000    0.152    0.002 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\actifs\ops\PrdAdActifs.py:6(prdAdActifBuild)
       40    0.006    0.000    0.134    0.003 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\MpActifCashInputCfPerfPassifBuild.py:11(mpActifCashInputCfPerfPassifBuild)
     1920    0.006    0.000    0.006    0.000 {lit}
      287    0.006    0.000    0.366    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1529(info)
      440    0.005    0.000    0.005    0.000 {method 'select' of 'builtins.PyLazyFrame' objects}
     2720    0.005    0.000    0.060    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:72(_is_iterable)
      287    0.005    0.000    0.044    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1645(makeRecord)
      574    0.005    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:455(_format)
      400    0.005    0.000    0.028    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\functions\whenthen.py:16(when)
      280    0.005    0.000    0.005    0.000 {method 'join' of 'builtins.PyLazyFrame' objects}
      167    0.005    0.000    0.005    0.000 {method 'acquire' of '_thread.lock' objects}
       40    0.005    0.000    0.005    0.000 {method 'melt' of 'builtins.PyDataFrame' objects}
     1148    0.005    0.000    0.012    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:51(normcase)
      574    0.005    0.000    0.061    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:988(format)
      541    0.005    0.000    0.005    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:179(splitroot)
     2166    0.004    0.000    0.007    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\dataframe\frame.py:463(_from_pydf)
       40    0.004    0.000    0.095    0.002 C:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\src\domaines\passif\ops\MpPassifEpProjCopy.py:11(mpPassifEpProjCopy)
      480    0.004    0.000    0.008    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:1157(__init__)
      287    0.004    0.000    0.276    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1686(handle)
     1148    0.004    0.000    0.004    0.000 {built-in method _winapi.LCMapStringEx}
        1    0.004    0.004    0.005    0.005 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\cProfile.py:56(snapshot_stats)
      520    0.004    0.000    0.006    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\expr.py:168(__add__)
      240    0.004    0.000    0.031    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:731(parent)
      400    0.004    0.000    0.047    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\deprecation.py:93(wrapper)
     3040    0.004    0.000    0.010    0.000 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\abc.py:121(__subclasscheck__)
      287    0.004    0.000    0.370    0.001 C:\Users\maria.rakotoniaina\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:2208(info)
      400    0.004    0.000    0.006    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\expr\whenthen.py:30(then)
      400    0.004    0.000    0.020    0.000 c:\Users\maria.rakotoniaina\repositories\modele-alm-polars-v2\.venv\Lib\site-packages\polars\_utils\parse_expr_input.py:146(parse_predicates_constraints_as_expression)
