cd_choc_s2_gse,maturite,intraperiod,pzc
CENTRAL,30,Mid,0.4524212785971065
CENTRAL,31,Mid,0.43898172148418463
CENTRAL,32,Mid,0.42578817014709536
CENTRAL,33,Mid,0.4128305834998228
CENTRAL,34,Mid,0.40011171920366717
CENTRAL,35,Mid,0.3876887031879749
CENTRAL,36,Mid,0.3754963091783747
CENTRAL,37,Mid,0.36366101396881023
CENTRAL,38,Mid,0.352111608718708
CENTRAL,39,Mid,0.3408479539670227
CENTRAL,40,Mid,0.3299271483212923
CENTRAL,41,Mid,0.3192819030599398
CENTRAL,42,Mid,0.30890821596844636
CENTRAL,43,Mid,0.2988644720291071
CENTRAL,44,Mid,0.2891432215368482
CENTRAL,45,Mid,0.2796785106434866
CENTRAL,46,Mid,0.27052637126523493
CENTRAL,47,Mid,0.2616191937170701
CENTRAL,48,Mid,0.2530139998263614
CENTRAL,49,Mid,0.24470028078295578
CENTRAL,50,Mid,0.23661730685009064
CENTRAL,51,Mid,0.2288147591627801
CENTRAL,52,Mid,0.22123091009528054
CENTRAL,53,Mid,0.21391615500428582
CENTRAL,54,Mid,0.20686240812534432
CENTRAL,55,Mid,0.20001024327961933
CENTRAL,56,Mid,0.19335507598176396
CENTRAL,57,Mid,0.18694409531704373
CENTRAL,58,Mid,0.18071854392158218
CENTRAL,59,Mid,0.17467577626705266
CENTRAL,60,Mid,0.16890804878111684
CENTRAL,61,Mid,0.16330941213772163
CENTRAL,62,Mid,0.15787722985155836
CENTRAL,63,Mid,0.15260578525775115
CENTRAL,64,Mid,0.1474924941469745
CENTRAL,65,Mid,0.14257684918735036
CENTRAL,66,Mid,0.1378531449563645
CENTRAL,67,Mid,0.13327109828807027
CENTRAL,68,Mid,0.1288282508147296
CENTRAL,69,Mid,0.1245613263516447
CENTRAL,70,Mid,0.12042406393329043
CENTRAL,71,Mid,0.11641294568874157
CENTRAL,72,Mid,0.11252453463784137
CENTRAL,73,Mid,0.10875547331100287
CENTRAL,74,Mid,0.10514020248061623
CENTRAL,75,Mid,0.10163576258286267
CENTRAL,76,Mid,0.09824004359324198
CENTRAL,77,Mid,0.09498449886003896
CENTRAL,78,Mid,0.09179500551556677
CENTRAL,79,Mid,0.08870531265078398
CENTRAL,80,Mid,0.08577824090930666
CENTRAL,81,Mid,0.0829417328824381
CENTRAL,82,Mid,0.08016210442333879
CENTRAL,83,Mid,0.07746963038847844
CENTRAL,84,Mid,0.07489228041884897
CENTRAL,85,Mid,0.0723954207774102
CENTRAL,86,Mid,0.06997740112797426
CENTRAL,87,Mid,0.06766375876511917
CENTRAL,88,Mid,0.06539491503984458
CENTRAL,89,Mid,0.06319817177003197
CENTRAL,90,Mid,0.06109743085642485
CENTRAL,91,Mid,0.059063089244463025
CENTRAL,92,Mid,0.05709316856805514
CENTRAL,93,Mid,0.05518574533811659
CENTRAL,94,Mid,0.05333894955257072
CENTRAL,95,Mid,0.051574698874182645
CENTRAL,96,Mid,0.04986614825308373
CENTRAL,97,Mid,0.04818944367707876
CENTRAL,98,Mid,0.04658852898560655
CENTRAL,99,Mid,0.0450384013292125
CENTRAL,100,Mid,0.043537954124294447
CENTRAL,101,Mid,0.04208525405387546
CENTRAL,102,Mid,0.04067925331649515
CENTRAL,103,Mid,0.039318132218145285
CENTRAL,104,Mid,0.03800089890378035
CENTRAL,105,Mid,0.03674452648572178
CENTRAL,106,Mid,0.03552831627382431
CENTRAL,107,Mid,0.034333231272804875
CENTRAL,108,Mid,0.033176901176846865
CENTRAL,109,Mid,0.03207474055714807
CENTRAL,110,Mid,0.031007994133402855
CENTRAL,111,Mid,0.029975565343632115
CENTRAL,112,Mid,0.028976390193631598
CENTRAL,113,Mid,0.02800943633483135
CENTRAL,114,Mid,0.027073702166841376
CENTRAL,115,Mid,0.026168215964064663
CENTRAL,116,Mid,0.025292035025779164
CENTRAL,117,Mid,0.024458100217102808
CENTRAL,118,Mid,0.023650861032233073
CENTRAL,119,Mid,0.022856534753080554
CENTRAL,120,Mid,0.02208803150097941
CENTRAL,121,Mid,0.021344541535904597
CENTRAL,122,Mid,0.020637468909983716
CENTRAL,123,Mid,0.019953143477496542
CENTRAL,124,Mid,0.019291043061901124
CENTRAL,125,Mid,0.01865028138235202
CENTRAL,126,Mid,0.018019368705895523
CENTRAL,127,Mid,0.017419834937397852
CENTRAL,128,Mid,0.016839678407186556
CENTRAL,129,Mid,0.01627844977645739
CENTRAL,130,Mid,0.015735392824867127
CENTRAL,131,Mid,0.015210084533899191
CENTRAL,132,Mid,0.014701815276658285
CENTRAL,133,Mid,0.014210186871133054
CENTRAL,134,Mid,0.013743447614461547
CENTRAL,135,Mid,0.013283095925483001
CENTRAL,136,Mid,0.012837853656157592
CENTRAL,137,Mid,0.01241534823303273
CENTRAL,138,Mid,0.011998495936128761
CENTRAL,139,Mid,0.01159535920266357
CENTRAL,140,Mid,0.01121298589043204
CENTRAL,141,Mid,0.01083561253400778
CENTRAL,142,Mid,0.010470686421326576
CENTRAL,143,Mid,0.0101247150209829
CENTRAL,144,Mid,0.00978998571319534
CENTRAL,145,Mid,0.009466139571419556
CENTRAL,146,Mid,0.009146361801862684
CENTRAL,147,Mid,0.008837172779562408
CENTRAL,148,Mid,0.008544266385649682
CENTRAL,149,Mid,0.008260908461776503
CENTRAL,150,Mid,0.0079867931337543
CENTRAL,0,End,1.0
CENTRAL,1,End,0.9692176475149259
CENTRAL,2,End,0.9372196812543512
CENTRAL,3,End,0.9097520317260029
CENTRAL,4,End,0.8832616787816105
CENTRAL,5,End,0.8571441307424285
CENTRAL,6,End,0.8321378546087703
CENTRAL,7,End,0.8080806982749776
CENTRAL,8,End,0.7841560441286596
CENTRAL,9,End,0.7605486048108097
CENTRAL,10,End,0.737480173471292
CENTRAL,11,End,0.7147508522660245
CENTRAL,12,End,0.6944712907790673
CENTRAL,13,End,0.6748785656395044
CENTRAL,14,End,0.6563735198354309
CENTRAL,15,End,0.6398090061837812
CENTRAL,16,End,0.6256892160947602
CENTRAL,17,End,0.6134663263898874
CENTRAL,18,End,0.6020584276616712
CENTRAL,19,End,0.5909747989245541
CENTRAL,20,End,0.5795560829596123
CENTRAL,21,End,0.5674310141824865
CENTRAL,22,End,0.5546957639278794
CENTRAL,23,End,0.5414869775149963
CENTRAL,24,End,0.5279755720549958
CENTRAL,25,End,0.5143603923754995
CENTRAL,26,End,0.5004818870646284
CENTRAL,27,End,0.486693445724715
CENTRAL,28,End,0.47285195444873596
CENTRAL,29,End,0.45920297072298477
CENTRAL,30,End,0.4457397411980537
CENTRAL,31,End,0.4323261625253972
CENTRAL,32,End,0.4193490506755106
CENTRAL,33,End,0.4064134410183297
CENTRAL,34,End,0.3939077099492238
CENTRAL,35,End,0.38156788197658853
CENTRAL,36,End,0.36952134827541017
CENTRAL,37,End,0.35789362021448257
CENTRAL,38,End,0.34642300949699756
CENTRAL,39,End,0.3353626189328297
CENTRAL,40,End,0.32457977441195407
CENTRAL,41,End,0.3140705048743862
CENTRAL,42,End,0.30383077815910675
CENTRAL,43,End,0.2939793433121605
CENTRAL,44,End,0.2843866566227838
CENTRAL,45,End,0.2750483100883018
CENTRAL,46,End,0.2660787754938051
CENTRAL,47,End,0.25723435623208285
CENTRAL,48,End,0.2488628853697023
CENTRAL,49,End,0.24060730199404515
CENTRAL,50,End,0.23269347786616884
CENTRAL,51,End,0.22500069400670164
CENTRAL,52,End,0.21752428719232456
CENTRAL,53,End,0.21036787184760994
CENTRAL,54,End,0.203415357675981
CENTRAL,55,End,0.1966621295157801
CENTRAL,56,End,0.19010363357686444
CENTRAL,57,End,0.1838370688468582
CENTRAL,58,End,0.17765292017543488
CENTRAL,59,End,0.17174852394414208
CENTRAL,60,End,0.16611455101834216
CENTRAL,61,End,0.16055164300340766
CENTRAL,62,End,0.1552473661392102
CENTRAL,63,End,0.15000915167380074
CENTRAL,64,End,0.14501805781156665
CENTRAL,65,End,0.14017673544219178
CENTRAL,66,End,0.13556807065318902
CENTRAL,67,End,0.1310130442465708
CENTRAL,68,End,0.126679891330113
CENTRAL,69,End,0.12247819176012152
CENTRAL,70,End,0.11840438665694773
CENTRAL,71,End,0.11445499872562948
CENTRAL,72,End,0.11062663087188922
CENTRAL,73,End,0.10691596482584148
CENTRAL,74,End,0.10339393369055701
CENTRAL,75,End,0.09990748844816855
CENTRAL,76,End,0.09660042820723119
CENTRAL,77,End,0.09339560073520856
CENTRAL,78,End,0.09022184097828018
CENTRAL,79,End,0.0872142754698124
CENTRAL,80,End,0.08436585150606282
CENTRAL,81,End,0.08154165377027389
CENTRAL,82,End,0.07880589476002098
CENTRAL,83,End,0.07615602425178103
CENTRAL,84,End,0.07364950732974139
CENTRAL,85,End,0.07116268851701875
CENTRAL,86,End,0.06881185591314924
CENTRAL,87,End,0.06653481713969232
CENTRAL,88,End,0.06427454221584213
CENTRAL,89,End,0.062139826708715755
CENTRAL,90,End,0.060072521198905084
CENTRAL,91,End,0.05807061933606654
CENTRAL,92,End,0.05613217035410308
CENTRAL,93,End,0.054255277665401086
CENTRAL,94,End,0.05243809748643099
CENTRAL,95,End,0.050725516207961424
CENTRAL,96,End,0.049021339307893444
CENTRAL,97,End,0.04737166537456109
CENTRAL,98,End,0.04581833920933399
CENTRAL,99,End,0.04427173985996373
CENTRAL,100,End,0.04281633058300864
CENTRAL,101,End,0.04136666044619238
CENTRAL,102,End,0.040003269119102854
CENTRAL,103,End,0.038644729672488935
CENTRAL,104,End,0.03736779451515642
CENTRAL,105,End,0.036131654120295564
CENTRAL,106,End,0.03493505315450981
CENTRAL,107,End,0.03374177690294247
CENTRAL,108,End,0.032621482112943356
CENTRAL,109,End,0.03153716248227
CENTRAL,110,End,0.030487704805963214
CENTRAL,111,End,0.029472028917526476
CENTRAL,112,End,0.028489086754196154
CENTRAL,113,End,0.027537861447223033
CENTRAL,114,End,0.02661736643651924
CENTRAL,115,End,0.025726644609077896
CENTRAL,116,End,0.024864767460561894
CENTRAL,117,End,0.02405808408136733
CENTRAL,118,End,0.023250530909866608
CENTRAL,119,End,0.02246921513078586
CENTRAL,120,End,0.021713314539402652
CENTRAL,121,End,0.020982031672373596
CENTRAL,122,End,0.020298564488934637
CENTRAL,123,End,0.019613600501187878
CENTRAL,124,End,0.018973790273416908
CENTRAL,125,End,0.018332288416207234
