scenario,period,evenement,cd_choc_s2,cd_choc_s2_gse,cd_trajectoire,dt_trajectoire,cd_societe,cd_canton,cd_classe_actif,cd_classe_actif_detail,cd_isin,mt_vm,mt_vc,tx_action_t1,tx_action_t2,tx_action_strat,mt_pdd,mt_vm_av,mt_vc_av,mt_pfi,mt_cf,mt_fuite_eco,mt_fuite_vc
1,10,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4693685.504393762,2445624.999999999,0.0,0.0,0.0,0.0,4551319.900009633,2445624.999999999,0.0,0.0,0.0,0.0
1,10,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7040528.256590642,5192249.999999999,1.0,0.0,0.0,0.0,7040528.256590642,5192249.999999999,0.0,0.0,0.0,0.0
1,10,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4693685.504393762,2445624.999999999,0.0,0.0,0.0,0.0,4693685.504393762,2445624.999999999,0.0,0.0,0.0,0.0
1,11,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7264419.459646179,5192249.999999999,1.0,0.0,0.0,0.0,7040528.256590642,5192249.999999999,0.0,0.0,0.0,0.0
1,11,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4842946.306430787,2445624.999999999,0.0,0.0,0.0,0.0,4693685.504393762,2445624.999999999,0.0,0.0,0.0,0.0
1,11,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7264419.459646181,5192249.999999999,1.0,0.0,0.0,0.0,7264419.459646179,5192249.999999999,0.0,-1.862645149230957e-9,0.0,0.0
1,11,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4842946.306430787,2445624.999999999,0.0,0.0,0.0,0.0,4842946.306430787,2445624.999999999,0.0,0.0,0.0,0.0
1,12,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7476550.966095754,5192249.999999999,1.0,0.0,0.0,0.0,7264419.459646181,5192249.999999999,0.0,0.0,0.0,0.0
1,12,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4984367.310730502,2445624.999999999,0.0,0.0,0.0,0.0,4842946.306430787,2445624.999999999,0.0,0.0,0.0,0.0
1,12,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7476550.966095753,5192249.999999998,1.0,0.0,0.0,0.0,7476550.966095754,5192249.999999999,0.0,9.313225746154785e-10,0.0,0.0
1,12,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,4984367.310730502,2445624.999999999,0.0,0.0,0.0,0.0,4984367.310730502,2445624.999999999,0.0,0.0,0.0,0.0
1,13,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7693606.323205575,5192249.999999998,1.0,0.0,0.0,0.0,7476550.966095753,5192249.999999998,0.0,0.0,0.0,0.0
1,13,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5129070.88213705,2445624.999999999,0.0,0.0,0.0,0.0,4984367.310730502,2445624.999999999,0.0,0.0,0.0,0.0
1,13,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7693606.323205574,5192249.999999997,1.0,0.0,0.0,0.0,7693606.323205575,5192249.999999998,0.0,9.313225746154785e-10,0.0,0.0
1,13,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5129070.88213705,2445624.999999999,0.0,0.0,0.0,0.0,5129070.88213705,2445624.999999999,0.0,0.0,0.0,0.0
1,14,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7910511.078054802,5192249.999999997,1.0,0.0,0.0,0.0,7693606.323205574,5192249.999999997,0.0,0.0,-9.313225746154785e-10,0.0
1,14,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5273674.052036534,2445624.999999999,0.0,0.0,0.0,0.0,5129070.88213705,2445624.999999999,0.0,0.0,-1.862645149230957e-9,0.0
1,14,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,7910511.078054801,5192249.999999996,1.0,0.0,0.0,0.0,7910511.078054802,5192249.999999997,0.0,9.313225746154785e-10,0.0,0.0
1,14,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5273674.052036535,2445624.999999999,0.0,0.0,0.0,0.0,5273674.052036534,2445624.999999999,0.0,-9.313225746154785e-10,0.0,0.0
1,15,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8115312.460150893,5192249.999999996,1.0,0.0,0.0,0.0,7910511.078054801,5192249.999999996,0.0,0.0,0.0,0.0
1,15,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5410208.3067672625,2445624.999999999,0.0,0.0,0.0,0.0,5273674.052036535,2445624.999999999,0.0,0.0,0.0,0.0
1,15,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8115312.460150895,5192249.999999997,1.0,0.0,0.0,0.0,8115312.460150893,5192249.999999996,0.0,-1.862645149230957e-9,0.0,0.0
1,15,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5410208.3067672625,2445624.999999999,0.0,0.0,0.0,0.0,5410208.3067672625,2445624.999999999,0.0,0.0,0.0,0.0
1,16,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8298448.920707685,5192249.999999997,1.0,0.0,0.0,0.0,8115312.460150895,5192249.999999997,0.0,0.0,0.0,0.0
1,16,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5532299.280471789,2445624.999999999,0.0,0.0,0.0,0.0,5410208.3067672625,2445624.999999999,0.0,0.0,0.0,0.0
1,16,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8298448.920707684,5192249.999999996,1.0,0.0,0.0,0.0,8298448.920707685,5192249.999999997,0.0,9.313225746154785e-10,0.0,0.0
1,16,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5532299.2804717915,2445624.999999999,0.0,0.0,0.0,0.0,5532299.280471789,2445624.999999999,0.0,-2.7939677238464355e-9,0.0,0.0
1,17,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8463789.741411291,5192249.999999996,1.0,0.0,0.0,0.0,8298448.920707684,5192249.999999996,0.0,0.0,0.0,0.0
1,17,1.Perf,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5642526.494274196,2445624.999999999,0.0,0.0,0.0,0.0,5532299.2804717915,2445624.999999999,0.0,0.0,0.0,0.0
1,17,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,ACTION,ACTION,380,8463789.741411291,5192249.999999996,1.0,0.0,0.0,0.0,8463789.741411291,5192249.999999996,0.0,0.0,0.0,0.0
1,17,2.StratInv,CENTRAL,CENTRAL,reel,2022-12-31,ACCENTURE,C00001,IMMOBILIER,IMMOBILIER,387,5642526.494274195,2445624.9999999986,0.0,0.0,0.0,0.0,5642526.494274196,2445624.999999999,0.0,9.313225746154785e-10,0.0,0.0
