cd_choc_s2_gse,maturite,intraperiod,pzc,scenario,period
CENTRAL,52,Mid,0.22123091009528054,1,0
CENTRAL,53,Beg,0.21752428719232456,1,0
CENTRAL,53,End,0.21036787184760994,1,0
CENTRAL,53,Mid,0.21391615500428582,1,0
CENTRAL,54,Beg,0.21036787184760994,1,0
CENTRAL,54,End,0.203415357675981,1,0
CENTRAL,54,Mid,0.20686240812534432,1,0
CENTRAL,55,Beg,0.203415357675981,1,0
CENTRAL,55,End,0.1966621295157801,1,0
CENTRAL,55,Mid,0.20001024327961933,1,0
CENTRAL,56,Beg,0.1966621295157801,1,0
CENTRAL,56,End,0.19010363357686444,1,0
CENTRAL,56,Mid,0.19335507598176396,1,0
CENTRAL,57,Beg,0.19010363357686444,1,0
CENTRAL,57,End,0.1838370688468582,1,0
CENTRAL,57,Mid,0.18694409531704373,1,0
CENTRAL,58,Beg,0.1838370688468582,1,0
CENTRAL,58,End,0.17765292017543488,1,0
CENTRAL,58,Mid,0.18071854392158218,1,0
CENTRAL,59,Beg,0.17765292017543488,1,0
CENTRAL,59,End,0.17174852394414208,1,0
CENTRAL,59,Mid,0.17467577626705266,1,0
CENTRAL,60,Beg,0.17174852394414208,1,0
CENTRAL,60,End,0.16611455101834216,1,0
CENTRAL,60,Mid,0.16890804878111684,1,0
CENTRAL,61,Beg,0.16611455101834216,1,0
CENTRAL,61,End,0.16055164300340766,1,0
CENTRAL,61,Mid,0.16330941213772163,1,0
CENTRAL,62,Beg,0.16055164300340766,1,0
CENTRAL,62,End,0.1552473661392102,1,0
CENTRAL,62,Mid,0.15787722985155836,1,0
CENTRAL,63,Beg,0.1552473661392102,1,0
CENTRAL,63,End,0.15000915167380074,1,0
CENTRAL,63,Mid,0.15260578525775115,1,0
CENTRAL,64,Beg,0.15000915167380074,1,0
CENTRAL,64,End,0.14501805781156665,1,0
CENTRAL,64,Mid,0.1474924941469745,1,0
CENTRAL,65,Beg,0.14501805781156665,1,0
CENTRAL,65,End,0.14017673544219178,1,0
CENTRAL,65,Mid,0.14257684918735036,1,0
CENTRAL,66,Beg,0.14017673544219178,1,0
CENTRAL,66,End,0.13556807065318902,1,0
CENTRAL,66,Mid,0.1378531449563645,1,0
CENTRAL,67,Beg,0.13556807065318902,1,0
CENTRAL,67,End,0.1310130442465708,1,0
CENTRAL,67,Mid,0.13327109828807027,1,0
CENTRAL,68,Beg,0.1310130442465708,1,0
CENTRAL,68,End,0.126679891330113,1,0
CENTRAL,68,Mid,0.1288282508147296,1,0
CENTRAL,69,Beg,0.126679891330113,1,0
CENTRAL,69,End,0.12247819176012152,1,0
CENTRAL,69,Mid,0.1245613263516447,1,0
CENTRAL,70,Beg,0.12247819176012152,1,0
CENTRAL,70,End,0.11840438665694773,1,0
CENTRAL,70,Mid,0.12042406393329043,1,0
CENTRAL,71,Beg,0.11840438665694773,1,0
CENTRAL,71,End,0.11445499872562948,1,0
CENTRAL,71,Mid,0.11641294568874157,1,0
CENTRAL,72,Beg,0.11445499872562948,1,0
CENTRAL,72,End,0.11062663087188922,1,0
CENTRAL,72,Mid,0.11252453463784137,1,0
CENTRAL,73,Beg,0.11062663087188922,1,0
CENTRAL,73,End,0.10691596482584148,1,0
CENTRAL,73,Mid,0.10875547331100287,1,0
CENTRAL,74,Beg,0.10691596482584148,1,0
CENTRAL,74,End,0.10339393369055701,1,0
CENTRAL,74,Mid,0.10514020248061623,1,0
CENTRAL,75,Beg,0.10339393369055701,1,0
CENTRAL,75,End,0.09990748844816855,1,0
CENTRAL,75,Mid,0.10163576258286267,1,0
CENTRAL,76,Beg,0.09990748844816855,1,0
CENTRAL,76,End,0.09660042820723119,1,0
CENTRAL,76,Mid,0.09824004359324198,1,0
CENTRAL,77,Beg,0.09660042820723119,1,0
CENTRAL,77,End,0.09339560073520856,1,0
CENTRAL,77,Mid,0.09498449886003896,1,0
CENTRAL,78,Beg,0.09339560073520856,1,0
CENTRAL,78,End,0.09022184097828018,1,0
CENTRAL,78,Mid,0.09179500551556677,1,0
CENTRAL,79,Beg,0.09022184097828018,1,0
CENTRAL,79,End,0.0872142754698124,1,0
CENTRAL,79,Mid,0.08870531265078398,1,0
CENTRAL,80,Beg,0.0872142754698124,1,0
CENTRAL,80,End,0.08436585150606282,1,0
CENTRAL,80,Mid,0.08577824090930666,1,0
CENTRAL,81,Beg,0.08436585150606282,1,0
CENTRAL,81,End,0.08154165377027389,1,0
CENTRAL,81,Mid,0.0829417328824381,1,0
CENTRAL,82,Beg,0.08154165377027389,1,0
CENTRAL,82,End,0.07880589476002098,1,0
CENTRAL,82,Mid,0.08016210442333879,1,0
CENTRAL,83,Beg,0.07880589476002098,1,0
CENTRAL,83,End,0.07615602425178103,1,0
CENTRAL,83,Mid,0.07746963038847844,1,0
CENTRAL,84,Beg,0.07615602425178103,1,0
CENTRAL,84,End,0.07364950732974139,1,0
CENTRAL,84,Mid,0.07489228041884897,1,0
CENTRAL,85,Beg,0.07364950732974139,1,0
CENTRAL,85,End,0.07116268851701875,1,0
CENTRAL,85,Mid,0.0723954207774102,1,0
CENTRAL,86,Beg,0.07116268851701875,1,0
CENTRAL,86,End,0.06881185591314924,1,0
CENTRAL,86,Mid,0.06997740112797426,1,0
CENTRAL,87,Beg,0.06881185591314924,1,0
CENTRAL,87,End,0.06653481713969232,1,0
CENTRAL,87,Mid,0.06766375876511917,1,0
CENTRAL,88,Beg,0.06653481713969232,1,0
CENTRAL,88,End,0.06427454221584213,1,0
CENTRAL,88,Mid,0.06539491503984458,1,0
CENTRAL,89,Beg,0.06427454221584213,1,0
CENTRAL,89,End,0.062139826708715755,1,0
CENTRAL,89,Mid,0.06319817177003197,1,0
CENTRAL,90,Beg,0.062139826708715755,1,0
CENTRAL,90,End,0.060072521198905084,1,0
CENTRAL,90,Mid,0.06109743085642485,1,0
CENTRAL,91,Beg,0.060072521198905084,1,0
CENTRAL,91,End,0.05807061933606654,1,0
CENTRAL,91,Mid,0.059063089244463025,1,0
CENTRAL,92,Beg,0.05807061933606654,1,0
CENTRAL,92,End,0.05613217035410308,1,0
CENTRAL,92,Mid,0.05709316856805514,1,0
CENTRAL,93,Beg,0.05613217035410308,1,0
CENTRAL,93,End,0.054255277665401086,1,0
CENTRAL,93,Mid,0.05518574533811659,1,0
CENTRAL,94,Beg,0.054255277665401086,1,0
CENTRAL,94,End,0.05243809748643099,1,0
CENTRAL,94,Mid,0.05333894955257072,1,0
CENTRAL,95,Beg,0.05243809748643099,1,0
CENTRAL,95,End,0.050725516207961424,1,0
CENTRAL,95,Mid,0.051574698874182645,1,0
CENTRAL,96,Beg,0.050725516207961424,1,0
CENTRAL,96,End,0.049021339307893444,1,0
CENTRAL,96,Mid,0.04986614825308373,1,0
CENTRAL,97,Beg,0.049021339307893444,1,0
CENTRAL,97,End,0.04737166537456109,1,0
CENTRAL,97,Mid,0.04818944367707876,1,0
CENTRAL,98,Beg,0.04737166537456109,1,0
CENTRAL,98,End,0.04581833920933399,1,0
CENTRAL,98,Mid,0.04658852898560655,1,0
CENTRAL,99,Beg,0.04581833920933399,1,0
CENTRAL,99,End,0.04427173985996373,1,0
CENTRAL,99,Mid,0.0450384013292125,1,0
CENTRAL,100,Beg,0.04427173985996373,1,0
CENTRAL,100,End,0.04281633058300864,1,0
CENTRAL,100,Mid,0.043537954124294447,1,0
CENTRAL,101,Beg,0.04281633058300864,1,0
CENTRAL,101,End,0.04136666044619238,1,0
CENTRAL,101,Mid,0.04208525405387546,1,0
CENTRAL,102,Beg,0.04136666044619238,1,0
CENTRAL,102,End,0.040003269119102854,1,0
CENTRAL,102,Mid,0.04067925331649515,1,0
CENTRAL,103,Beg,0.040003269119102854,1,0
