cd_choc_s2,scenario,period,evenement,cd_societe,cd_canton,cd_classe_actif,mt_vm_av,mt_vm,mt_vc_av,mt_vc,mt_pfi,mt_cf,mt_pdd,mt_fuite_eco,mt_fuite_vc
CENTRAL,1,19,2.StratInv,ACCENTURE,C00001,ACTION,8785907.638445443,8785907.638445444,5192249.999999996,5192249.999999996,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,20,1.Perf,ACCENTURE,C00001,ACTION,8785907.638445444,8959012.169253401,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,20,1.Perf,ACCENTURE,C00001,IMMOBILIER,5857271.75896363,5972674.779502268,2445624.999999998,2445624.999999998,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,20,2.StratInv,ACCENTURE,C00001,IMMOBILIER,5972674.779502268,5972674.779502269,2445624.999999998,2445624.999999997,0.0,-9.313225746154785e-10,0.0,0.0,0.0
CENTRAL,1,20,2.StratInv,ACCENTURE,C00001,ACTION,8959012.169253401,8959012.169253401,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,21,1.Perf,ACCENTURE,C00001,ACTION,8959012.169253401,9150451.544282641,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,21,1.Perf,ACCENTURE,C00001,IMMOBILIER,5972674.779502269,6100301.029521762,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,21,2.StratInv,ACCENTURE,C00001,IMMOBILIER,6100301.029521762,6100301.029521762,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,21,2.StratInv,ACCENTURE,C00001,ACTION,9150451.544282641,9150451.544282643,5192249.999999996,5192249.999999996,0.0,-1.862645149230957e-9,0.0,0.0,0.0
CENTRAL,1,22,1.Perf,ACCENTURE,C00001,IMMOBILIER,6100301.029521762,6240357.733198876,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,22,1.Perf,ACCENTURE,C00001,ACTION,9150451.544282643,9360536.599798312,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,22,2.StratInv,ACCENTURE,C00001,ACTION,9360536.599798312,9360536.599798312,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,22,2.StratInv,ACCENTURE,C00001,IMMOBILIER,6240357.733198876,6240357.733198876,2445624.999999997,2445624.999999997,0.0,0.0,0.0,0.0,0.0
CENTRAL,1,23,1.Perf,ACCENTURE,C00001,ACTION,9360536.599798312,9588873.261234066,5192249.999999996,5192249.999999996,0.0,0.0,0.0,0.0,0.0
