cd_choc_s2_gse,scenario,period,facteur_perf_tot,cd_classe_actif,tx_dividendes,facteur_perf_net
CENTRAL,1,17,1.0199243042023216,IMMOBILIER,0.0,1.0199243042023216
CENTRAL,1,18,1.0189481588564806,ACTION,0.0,1.0189481588564806
CENTRAL,1,18,1.0189481588564806,IMMOBILIER,0.0,1.0189481588564806
CENTRAL,1,19,1.0187548246681362,ACTION,0.0,1.0187548246681362
CENTRAL,1,19,1.0187548246681362,IMMOBILIER,0.0,1.0187548246681362
CENTRAL,1,20,1.0197025211203548,ACTION,0.0,1.0197025211203548
CENTRAL,1,20,1.0197025211203548,IMMOBILIER,0.0,1.0197025211203548
CENTRAL,1,21,1.0213683575167187,ACTION,0.0,1.0213683575167187
CENTRAL,1,21,1.0213683575167187,IMMOBILIER,0.0,1.0213683575167187
CENTRAL,1,22,1.0229589823517435,ACTION,0.0,1.0229589823517435
CENTRAL,1,22,1.0229589823517435,IMMOBILIER,0.0,1.0229589823517435
CENTRAL,1,23,1.0243935440026668,ACTION,0.0,1.0243935440026668
CENTRAL,1,23,1.0243935440026668,IMMOBILIER,0.0,1.0243935440026668
CENTRAL,1,24,1.0255909670354846,ACTION,0.0,1.0255909670354846
CENTRAL,1,24,1.0255909670354846,IMMOBILIER,0.0,1.0255909670354846
CENTRAL,1,25,1.0264701168311514,ACTION,0.0,1.0264701168311514
CENTRAL,1,25,1.0264701168311514,IMMOBILIER,0.0,1.0264701168311514
CENTRAL,1,26,1.0277302848905678,ACTION,0.0,1.0277302848905678
CENTRAL,1,26,1.0277302848905678,IMMOBILIER,0.0,1.0277302848905678
CENTRAL,1,27,1.0283308547937842,ACTION,0.0,1.0283308547937842
CENTRAL,1,27,1.0283308547937842,IMMOBILIER,0.0,1.0283308547937842
CENTRAL,1,28,1.0292723571209847,ACTION,0.0,1.0292723571209847
CENTRAL,1,28,1.0292723571209847,IMMOBILIER,0.0,1.0292723571209847
CENTRAL,1,29,1.029723204325664,ACTION,0.0,1.029723204325664
CENTRAL,1,29,1.029723204325664,IMMOBILIER,0.0,1.029723204325664
CENTRAL,1,30,1.0302042386634513,ACTION,0.0,1.0302042386634513
CENTRAL,1,30,1.0302042386634513,IMMOBILIER,0.0,1.0302042386634513
CENTRAL,1,31,1.0310265254230793,ACTION,0.0,1.0310265254230793
CENTRAL,1,31,1.0310265254230793,IMMOBILIER,0.0,1.0310265254230793
CENTRAL,1,32,1.0309458476869862,ACTION,0.0,1.0309458476869862
CENTRAL,1,32,1.0309458476869862,IMMOBILIER,0.0,1.0309458476869862
CENTRAL,1,33,1.031828695489915,ACTION,0.0,1.031828695489915
CENTRAL,1,33,1.031828695489915,IMMOBILIER,0.0,1.031828695489915
CENTRAL,1,34,1.0317478707657637,ACTION,0.0,1.0317478707657637
CENTRAL,1,34,1.0317478707657637,IMMOBILIER,0.0,1.0317478707657637
CENTRAL,1,35,1.032339797334914,ACTION,0.0,1.032339797334914
CENTRAL,1,35,1.032339797334914,IMMOBILIER,0.0,1.032339797334914
CENTRAL,1,36,1.0326003727725086,ACTION,0.0,1.0326003727725086
CENTRAL,1,36,1.0326003727725086,IMMOBILIER,0.0,1.0326003727725086
CENTRAL,1,37,1.0324893415366254,ACTION,0.0,1.0324893415366254
CENTRAL,1,37,1.0324893415366254,IMMOBILIER,0.0,1.0324893415366254
CENTRAL,1,38,1.0331115728546445,ACTION,0.0,1.0331115728546445
CENTRAL,1,38,1.0331115728546445,IMMOBILIER,0.0,1.0331115728546445
CENTRAL,1,39,1.0329803917901272,ACTION,0.0,1.0329803917901272
CENTRAL,1,39,1.0329803917901272,IMMOBILIER,0.0,1.0329803917901272
CENTRAL,1,40,1.0332209378739359,ACTION,0.0,1.0332209378739359
CENTRAL,1,40,1.0332209378739359,IMMOBILIER,0.0,1.0332209378739359
