cd_choc_s2,cd_choc_s2_gse,scenario,period,intraperiod,cd_societe,cd_canton,cd_type_flux,mt_cf
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9976.607673570088
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1201.8179596785126
CENTRAL,CENTRAL,1,10,Beg,ACCENTURE,C00001,mt_fgse_uc,-109973.62349249123
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-182840.1133912283
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-3731.430885535273
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_fgse_eu,-216521.0719769065
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488916.3770443638
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-65141.85297966064
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9977.88524580335
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1329.425571013483
CENTRAL,CENTRAL,1,11,Beg,ACCENTURE,C00001,mt_fgse_uc,-109940.3735740556
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-201659.13294323697
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-4115.492509045652
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_fgse_eu,-216390.87752052653
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488603.58738534484
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-71800.62697150871
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9971.501783374388
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1465.3189177858915
CENTRAL,CENTRAL,1,12,Beg,ACCENTURE,C00001,mt_fgse_uc,-109733.73001560017
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-222498.9716514913
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-4540.795339826352
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_fgse_eu,-216246.01445108355
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488583.1252705789
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-79217.45898780608
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9971.08418919549
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1616.6828364858393
CENTRAL,CENTRAL,1,13,Beg,ACCENTURE,C00001,mt_fgse_uc,-109651.08614850034
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-249149.73308805987
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-5084.68843036857
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_fgse_eu,-216060.08012468665
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488482.1461175622
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-88687.92442897546
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9969.023390154329
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1809.957641407663
CENTRAL,CENTRAL,1,14,Beg,ACCENTURE,C00001,mt_fgse_uc,-109511.52695896647
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-274290.717597896
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-5597.769746895839
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_fgse_eu,-215883.68823378594
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-488204.72356254415
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-97581.69903646856
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9963.361705358042
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-1991.463245642215
CENTRAL,CENTRAL,1,15,Beg,ACCENTURE,C00001,mt_fgse_uc,-109297.87844110049
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-301924.64952319703
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-6161.727541289736
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_fgse_eu,-215689.05506842225
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-487804.1661986351
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-107324.5563728928
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9955.187065278269
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-2190.2970688345486
CENTRAL,CENTRAL,1,16,Beg,ACCENTURE,C00001,mt_fgse_uc,-109020.23798507745
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-336760.15928518836
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-6872.656311942617
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_fgse_eu,-215441.09278681042
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-487485.4050604115
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-119629.2830529096
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9948.681735926768
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-2441.4139398552984
CENTRAL,CENTRAL,1,17,Beg,ACCENTURE,C00001,mt_fgse_uc,-108752.64667059733
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-374426.7977534082
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-7641.363219457308
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_fgse_eu,-215171.31119177205
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-487367.6001227108
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-132977.48135002397
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9946.27755352471
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-2713.8261500004915
CENTRAL,CENTRAL,1,18,Beg,ACCENTURE,C00001,mt_fgse_uc,-108563.99831666859
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-419075.07976181456
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-8552.5526482003
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_fgse_eu,-214852.7064271052
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-487344.2644380306
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_dc_uc_net,-148827.21835951274
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_rt_uc_chgt,-9945.801315061848
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_prst_dc_uc_chgt,-3037.290170602301
CENTRAL,CENTRAL,1,19,Beg,ACCENTURE,C00001,mt_fgse_uc,-108392.88228817178
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_rt_eu_net,-1372242.9428659114
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_dc_eu_net,-475165.04952854326
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_rt_eu_chgt,-28004.958017671677
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_dc_eu_chgt,-9697.245908745776
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_fgse_eu,-214456.97460061376
CENTRAL,CENTRAL,1,20,Beg,ACCENTURE,C00001,mt_prst_rt_uc_net,-487458.6419329
