cd_table,generation,age,sexe,qx
TGHTGF05,1907,107,F,0.403397028
TGHTGF05,1907,108,F,0.425266904
TGHTGF05,1907,109,F,0.448916409
TGHTGF05,1907,110,F,0.471910112
TGHTGF05,1907,111,F,0.5
TGHTGF05,1907,112,F,0.531914894
TGHTGF05,1907,113,F,0.545454545
TGHTGF05,1907,114,F,0.6
TGHTGF05,1907,115,F,0.5
TGHTGF05,1907,116,F,0.5
TGHTGF05,1907,117,F,1
TGHTGF05,1907,118,F,0
TGHTGF05,1907,119,F,0
TGHTGF05,1907,120,F,0
TGHTGF05,1908,88,F,0.08335
TGHTGF05,1908,89,F,0.093132602
TGHTGF05,1908,90,F,0.105187181
TGHTGF05,1908,91,F,0.116678318
TGHTGF05,1908,92,F,0.131922989
TGHTGF05,1908,93,F,0.145116328
TGHTGF05,1908,94,F,0.159085316
TGHTGF05,1908,95,F,0.173767773
TGHTGF05,1908,96,F,0.189208336
TGHTGF05,1908,97,F,0.205329838
TGHTGF05,1908,98,F,0.222054242
TGHTGF05,1908,99,F,0.239502974
TGHTGF05,1908,100,F,0.25747251
TGHTGF05,1908,101,F,0.276149755
TGHTGF05,1908,102,F,0.295490563
TGHTGF05,1908,103,F,0.315337423
TGHTGF05,1908,104,F,0.33572282
TGHTGF05,1908,105,F,0.356564748
TGHTGF05,1908,106,F,0.378756115
TGHTGF05,1908,107,F,0.400449944
TGHTGF05,1908,108,F,0.424015009
TGHTGF05,1908,109,F,0.446254072
TGHTGF05,1908,110,F,0.470588235
TGHTGF05,1908,111,F,0.488888889
TGHTGF05,1908,112,F,0.52173913
TGHTGF05,1908,113,F,0.545454545
TGHTGF05,1908,114,F,0.6
TGHTGF05,1908,115,F,0.5
TGHTGF05,1908,116,F,0.5
TGHTGF05,1908,117,F,1
TGHTGF05,1908,118,F,0
TGHTGF05,1908,119,F,0
TGHTGF05,1908,120,F,0
TGHTGF05,1909,87,F,0.07216
TGHTGF05,1909,88,F,0.082740559
TGHTGF05,1909,89,F,0.092495329
TGHTGF05,1909,90,F,0.104499256
TGHTGF05,1909,91,F,0.115970736
TGHTGF05,1909,92,F,0.131167918
TGHTGF05,1909,93,F,0.144325433
TGHTGF05,1909,94,F,0.158262936
TGHTGF05,1909,95,F,0.172913073
TGHTGF05,1909,96,F,0.18827024
TGHTGF05,1909,97,F,0.204258798
TGHTGF05,1909,98,F,0.220879605
TGHTGF05,1909,99,F,0.238226799
TGHTGF05,1909,100,F,0.256017145
TGHTGF05,1909,101,F,0.274651008
TGHTGF05,1909,102,F,0.293722316
TGHTGF05,1909,103,F,0.313365052
TGHTGF05,1909,104,F,0.333858268
TGHTGF05,1909,105,F,0.354609929
TGHTGF05,1909,106,F,0.375824176
TGHTGF05,1909,107,F,0.399061033
TGHTGF05,1909,108,F,0.419921875
TGHTGF05,1909,109,F,0.444444444
TGHTGF05,1909,110,F,0.466666667
TGHTGF05,1909,111,F,0.488636364
TGHTGF05,1909,112,F,0.511111111
TGHTGF05,1909,113,F,0.545454545
TGHTGF05,1909,114,F,0.6
TGHTGF05,1909,115,F,0.5
TGHTGF05,1909,116,F,0.5
TGHTGF05,1909,117,F,1
TGHTGF05,1909,118,F,0
TGHTGF05,1909,119,F,0
TGHTGF05,1909,120,F,0
TGHTGF05,1910,86,F,0.06355
TGHTGF05,1910,87,F,0.071600192
TGHTGF05,1910,88,F,0.082125604
TGHTGF05,1910,89,F,0.091854637
TGHTGF05,1910,90,F,0.103822271
TGHTGF05,1910,91,F,0.115264989
TGHTGF05,1910,92,F,0.130403759
TGHTGF05,1910,93,F,0.143554746
TGHTGF05,1910,94,F,0.157428611
TGHTGF05,1910,95,F,0.17203317
TGHTGF05,1910,96,F,0.18724459
TGHTGF05,1910,97,F,0.203140455
TGHTGF05,1910,98,F,0.219653478
TGHTGF05,1910,99,F,0.23681071
TGHTGF05,1910,100,F,0.25453756
TGHTGF05,1910,101,F,0.272949674
TGHTGF05,1910,102,F,0.291940394
TGHTGF05,1910,103,F,0.311608961
TGHTGF05,1910,104,F,0.331689678
TGHTGF05,1910,105,F,0.352188883
TGHTGF05,1910,106,F,0.374335611
TGHTGF05,1910,107,F,0.395631068
TGHTGF05,1910,108,F,0.417670683
TGHTGF05,1910,109,F,0.44137931
TGHTGF05,1910,110,F,0.462962963
TGHTGF05,1910,111,F,0.494252874
TGHTGF05,1910,112,F,0.5
TGHTGF05,1910,113,F,0.545454545
TGHTGF05,1910,114,F,0.6
TGHTGF05,1910,115,F,0.5
TGHTGF05,1910,116,F,0.5
TGHTGF05,1910,117,F,1
TGHTGF05,1910,118,F,0
TGHTGF05,1910,119,F,0
TGHTGF05,1910,120,F,0
TGHTGF05,1911,85,F,0.05571
TGHTGF05,1911,86,F,0.063020894
TGHTGF05,1911,87,F,0.07104591
TGHTGF05,1911,88,F,0.081516449
TGHTGF05,1911,89,F,0.09122821
TGHTGF05,1911,90,F,0.103155747
TGHTGF05,1911,91,F,0.114565726
TGHTGF05,1911,92,F,0.129646286
TGHTGF05,1911,93,F,0.142778809
TGHTGF05,1911,94,F,0.156571372
TGHTGF05,1911,95,F,0.171051864
TGHTGF05,1911,96,F,0.186149623
TGHTGF05,1911,97,F,0.201919751
TGHTGF05,1911,98,F,0.218333514
TGHTGF05,1911,99,F,0.235375658
TGHTGF05,1911,100,F,0.252991298
TGHTGF05,1911,101,F,0.271204951
TGHTGF05,1911,102,F,0.29004329
TGHTGF05,1911,103,F,0.30956848
TGHTGF05,1911,104,F,0.32982337
TGHTGF05,1911,105,F,0.350228079
TGHTGF05,1911,106,F,0.371294852
TGHTGF05,1911,107,F,0.393300248
TGHTGF05,1911,108,F,0.415132924
TGHTGF05,1911,109,F,0.437062937
TGHTGF05,1911,110,F,0.459627329
TGHTGF05,1911,111,F,0.482758621
TGHTGF05,1911,112,F,0.511111111
TGHTGF05,1911,113,F,0.545454545
TGHTGF05,1911,114,F,0.6
TGHTGF05,1911,115,F,0.5
TGHTGF05,1911,116,F,0.5
